"","game_year","player_name","arm_angle","arm_slot","throws","pitch_name","avg_pitch_velo","avg_release_spin","height"
"11805",2019,"Jose Alvarado",17.92,"Overhand","L","Cutter",92.41,2532.63,6
"11806",2019,"Marcus Walden",47.33,"Three-Quarters","R","4-Seam Fastball",94.13,2226.81,5.83
"11807",2019,"Scott Barlow",56.64,"Three-Quarters","R","2-Seam Fastball",93.83,2199.56,6.25
"11808",2019,"Diego Castillo",32.81,"Three-Quarters","R","Slider",88.72,2348.65,6.25
"11809",2019,"Kenley Jansen",39.83,"Three-Quarters","R","Sinker",93.21,2334.49,6.42
"11810",2019,"Diego Castillo",34.17,"Three-Quarters","R","Sinker",98.2,2120.83,6.25
"11811",2019,"Taylor Rogers",56.64,"Three-Quarters","L","2-Seam Fastball",94.73,2074.68,6.25
"11812",2019,"Blake Treinen",57.81,"Three-Quarters","R","Slider",88.52,2608.96,6.42
"11813",2019,"Josh Hader",75.16,"Side Arm","L","4-Seam Fastball",95.48,2129.58,6.25
"11814",2019,"Josh Hader",78.91,"Side Arm","L","Slider",81.88,2611.06,6.25
"11815",2019,"Taylor Rogers",55.1,"Three-Quarters","L","Slider",82.36,2528.09,6.25
"11816",2019,"Will Smith",38.35,"Three-Quarters","L","Changeup",86.93,1829.48,6.42
"11817",2019,"Wade Davis",49.85,"Three-Quarters","R","Changeup",90.58,2350.08,6.42
"11818",2019,"Austin Davis",62.08,"Three-Quarters","L","Changeup",84.74,2236.06,6.33
"11819",2019,"John Gant",58.07,"Three-Quarters","R","Cutter",90.17,2644.67,6.33
"11820",2019,"Austin Davis",61.15,"Three-Quarters","L","4-Seam Fastball",93.7,2420.84,6.33
"11821",2019,"Austin Davis",62.29,"Three-Quarters","L","Curveball",82.2,2617.68,6.33
"11822",2019,"Blaine Hardy",47.85,"Three-Quarters","L","2-Seam Fastball",88.89,2182,6.17
"11823",2019,"Blaine Hardy",48.5,"Three-Quarters","L","Changeup",79.28,1988.55,6.17
"11824",2019,"Joakim Soria",53.32,"Three-Quarters","R","Changeup",87.6,1500.57,6.25
"11825",2019,"Blaine Hardy",44.27,"Three-Quarters","L","4-Seam Fastball",88.21,2235.46,6.17
"11826",2019,"Trevor May",40.81,"Three-Quarters","R","Slider",83.86,2555.75,6.42
"11827",2019,"Wei-Yin Chen",43.83,"Three-Quarters","L","Slider",85.88,2291.76,6
